Artis,Judul,Lirik
Ariana Grande,Touch It,"How do I make the phone ring?
Why do I even care?
How are you all around me when you're not really there?
When you're not really there?
How do I feel you on me when you're not on my skin?
Why do you say you want me, then tell me ""I'm not coming in""?
Baby, just come on in
'Cause every time I'm with you, I go into a zone
And I remember all the places you wanna go
Take me all the way
Ain't nobody gonna touch it, touch it, touch it
'Cause every time I see you, I don't wanna behave
I'm tired of being patient, so let's pick up the pace
Take me all the way
Ain't nobody gonna touch it, touch it, touch it
How do you know I'm breathing, when I'm holding my breath?
Why don't we face the danger just for the night and forget?
Baby, let's just forget
Remind me why we're taking a break
It's obviously insane
'Cause we both know what we want
So why don't we fall in love?
Baby, let's fall in love
'Cause every time I'm with you, I go into a zone
And I remember all the places you wanna go
Take me all the way
Ain't nobody gonna touch it, touch it, touch it
'Cause every time I see you, I don't wanna behave
I'm tired of being patient, so let's pick up the pace
Take me all the way
Ain't nobody gonna touch it, touch it, touch it
Oh, ain't nobody gonna touch it, touch it, touch it
Baby, ain't nobody gonna touch it, touch it, touch it
Baby, ain't nobody gonna touch it, touch it, touch it
Ain't nobody gonna touch it
Remind me why we're taking a break
It's obviously insane
'Cause we both know what we want
So why don't we fall in love?
Baby, let's be in love
'Cause every time I'm with you, I go into a zone
And I remember all the places you wanna go
Take me all the way
Ain't nobody gonna touch it, touch it, touch it
'Cause every time I see you, I don't wanna behave
I'm tired of being patient, so let's pick up the pace
Take me all the way
Ain't nobody gonna touch it, touch it, touch it
Baby, ain't nobody gonna
Baby, ain't nobody gonna
Baby, ain't nobody gonna"
Ariana Grande,Right There,"Ooh, ooh
If you wanna party, if you, if you wanna party
Then put your hands up, hey (put your hands up)
(If you wanna party, if, if, if you wanna party)
Then put your hands up (put your hands up)
You got it, you got it, babe (see ya)
You got it, you got it, babe (got it, huh?)
You got it, you got it, babe (Sean Don)
You got it, you got it, babe
Okay, this, this, this for my number one girl who got the top spot title
Spent an hour in the bathroom, walked out looking like a model, God
Doin' what you do, got me right there with Apollo on the Moon (Moon)
Who needs genies in a bottle, girl, if they already got you? (Got you, I got you)
Boy, you make me feel so lucky
Finally the stars align
Never has it been so easy
To be in love and to give you this heart of mine
You know what I need (ay)
I know what you like (ay)
Put it all together, baby, we could be alright (hey)
How could this be wrong
When it feels so right?
Yeah, I really love you, I really love you, oh
And I'll never let you go
You should know
I'm never gonna change
I'm always gonna stay
You call for me, I'm right there (right there)
Right there (right there)
'Cause you listen and you care
You're so different, no one compares
And if you never change, I'm gonna stay right there
I'll always be right there
You got it, you got it, babe
You got it, you got it, babe
I get butterflies, just thinkin'
About you, boy, you're on my mind
Sometimes I catch myself daydreamin'
Lost in your eyes and I lose all track of time
You know what I need (ay)
I know what you like (ay)
Put it all together, baby, we could be alright (hey)
How could this be wrong (ah)
When it feels so right? (Ah)
I really need you, I really love you, oh
And I'll never let you go
You should know
I'm never gonna change
I'm always gonna stay
You call for me, I'm right there (right there)
Right there (right there)
'Cause you listen and you care
You're so different, no one compares
And if you never change, I'm gonna stay right there (what? Okay)
I'll always be right there (what?)
Now if all fell through, would you catch me before the pavement? (What?)
If my Benz turned back to public transportation (swerve, swerve)
Would you still be at home for me with the candles waiting? (What?)
And get my mind back adjacent the place of a young visionary
A player too, you know I have some girls missionary (ooh)
My black book and numbers thicker than the dictionary and Bible
I got it recycled
I love and I like you
Five course meals, even though you don't mind a drive-thru
That's why I got you
And I'll never let you go (I got you)
You should know (oh)
I'm never gonna change (I'm never gonna change)
I'm always gonna stay (I'm always gonna stay)
You call for me, I'm right there (I'm right there)
Right there (ooh)
'Cause you listen and you care
You're so different, no one compares
And if you never change, I'm gonna stay right there (B-I-G Sean Don)
I'll always be right there (carry on, yeah)
You got it, I'll always be right there (yeah)
I'll always be right there
You got it, you got it, babe (Gods)
You got it, you got it, babe (ooh)
You got it, you got it, babe (oh, baby)
You got it, you got it, babe
Got it, babe"
Ariana Grande,Moonlight,"The sun is setting
And you're right here by my side
And the movie is playing
But we won't be watching tonight
Every look, every touch
Makes me wanna give you my heart
I be crushin' on you, baby
Stay the way you are
'Cause I never knew, I never knew
You could hold moonlight in your hands
'Til the night I held you
You are my moonlight
Moonlight
I kiss his fingertips
As I'm wishing he's all mine
He's giving me Elvis
With some James Dean in his eyes
Puts his lips on my neck
Makes me want to give him my body
I be fallin' for you, baby
And I just can't stop
'Cause I never knew, I never knew
You could hold moonlight in your hands
'Til the night I held you
You are my moonlight
Moonlight
Baby, I be fallin'
You're my moonlight
Moonlight
He's so bossy
He makes me dance
Tryna sit in the back of his whip
And just cancel my plans
Sweet like candy
But he's such a man
He knows just what it does
When he's holding me tight
And he calls me ""Moonlight"" too"
Rex Orange County,Sunflower,"I want to know
Where I can go
When you're not around
And I'm feeling down
So won't you stay for a moment
So I can say
I, I need you so
'Cause right now you know that nothing here's new
And I'm obsessed with you
Then I fell to the ground
And you smiled at me and said
I don't wanna see you cry
You don't have to feel this emptiness
She said I love you till the day that I die
Well maybe she's right
'Cause I don't wanna feel like I'm not me
And to be honest I don't even know why
I let myself get down in the first place
Tryna keep my mind at bay
Sunflower still grows at night
Waiting for a minute till the sun's seen through my eyes
Make it down down, do-do-down
Diggy dig down, du du du du
Waiting for a minute till the sun's seen through my eyes
You know you need to get yourself to sleep and dream
A dream of you and I
There's no need to keep an open eye
I promise I'm the one for you
Just let me hold you in these arms tonight
I'm lucky to be me and you can see it in my face
Back when I fucked my shit up too many times
Why would I let myself get down in the first place
Tryna keep my mind at bay
Sunflower still grows at night
Waiting for a minute till the sun's seen through my eyes
Make it down down, do-do-down
Diggy dig down, du du du
Waiting for a minute till the sun's seen through my eyes
And so she sat me down and told me that I didn't have to cry
Said I didn't need to get down and feel empty inside
And told me that she'll love me for as long as she's alive
And well, maybe she's right, 'cause I hate it when I feel like I'm not me
See, I honestly, don't even know why
I, I honestly don't even know why
Tryna keep my mind at bay
Sunflower still grows at night
Waiting for a minute till the sun's seen through my eyes
Make it down down, do-do-down
Diggy dig down, du du du
Waiting for a minute till the sun's seen through my eyes
"
Rex Orange County,Best Friend,"I should've stayed at home
'Cause right now I see all these people that love me
But I still feel alone
Can't help but check my phone
I could've made you mine
But no, it wasn't meant to be and see, I wasn't made for you
And you weren't made for me
Though it seemed so easy
And that's because I wanna be your favorite boy
I wanna be the one that makes your day
The one you think about as you lie awake
I can't wait to be your number one
I'll be your biggest fan and you'll be mine
But I still wanna break your heart and make you cry
But won't you wait?
You know it's too late
I'm on my own shit now
Let me tell you how it feels to be fucking great
I feel great
Whoa, whoa, whoa, whoa, whoa
You need to be yourself
Love someone for loving you instead of someone really cool
That makes your heart melt
Who knows what you truly felt?
You're still my favorite girl
You better trust me when I tell you
There ain't no one else more beautiful in this damn world
In this damn world
You're gonna wanna be my best friend, baby
You're gonna wanna be my best friend
I said that
You're gonna wanna be my best friend, baby
You're gonna wanna be my best friend, best friend
You're gonna wanna be my best friend, baby
You're gonna wanna be my best friend
Best friend
You're gonna wanna be my best friend, baby
You're gonna wanna be my best friend
I say that I'm happy
I say that I'm happy
But no, no, no, no
No, no, no
Oh, I still wanna be your favorite boy
I wanna be the one that makes your day
The one you think about as you lie awake
And I can't wait to be your number, your number one
I'll be your biggest fan and you'll be mine
But I still wanna break your heart and make you cry
I still wanna be your favorite boy
I wanna be the one
I might just be the one"
Rex Orange County,Happiness,"I'll be the one that stays 'til the end
And I'll be the one that needs you again
And I'll be the one that proposes in a garden of roses
And truly loves you long after our curtain closes
But will you still love me when nobody wants me around?
When I turn 81 and forget things
Will you still be proud?
'Cause I am the one who's waited this long
And I am the one that might get it wrong
And I'll be the one that will love you
The way I'm supposed to, girl, oh
But will you still love me
When nobody wants me around, around?
When I turn 81 and forget things
Will you still be proud?
Proud of me, of my short list of accomplishments, say
And me and my lack of new news
Me and my selfishness, oh, me and myself
Wish you nothing but a happy new version of you
Because I, I, mm-mmh
Mm-mm-mm, mm
I want you to tell me
You find it hard to be yourself
So I can say it's gonna be alright, yeah
And I want you to love me the way you love your family
The way you love to show me what it's like to be happy"
Coldplay,Fix You,"When you try your best, but you don't succeed
When you get what you want, but not what you need
When you feel so tired, but you can't sleep
Stuck in reverse
And the tears come streaming down your face
When you lose something you can't replace
When you love someone, but it goes to waste
Could it be worse?
Lights will guide you home
And ignite your bones
And I will try to fix you
And high up above, or down below
When you're too in love to let it go
But if you never try, you'll never know
Just what you're worth
Lights will guide you home
And ignite your bones
And I will try to fix you
Tears stream down your face
When you lose something you cannot replace
Tears stream down your face, and I
Tears stream down your face
I promise you I will learn from my mistakes
Tears stream down your face, and I
Lights will guide you home
And ignite your bones
And I will try to fix you"
Coldplay,Everglow,"Oh, they say people come, say people go
This particular diamond was extra special
And though you might be gone, and the world may not know
Still I see you, celestial
Like a lion you ran, goddess you rolled
Like an eagle you circled, in perfect purple
So how come things move on? How come cars don't slow
When it feels like the end of my world?
When I should but I can't let you go?
But when I'm cold, I'm cold
When I'm cold, cold
There's a light that you give me when I'm in shadow
There's a feelin' within me, an everglow
Like brothers in blood or sisters who ride
When we swore, on that night, we'd be friends 'til we die
But the changin' of winds and the way waters flow
Life is short as the fallin' of snow
And now I'm gonna miss you, I know
But when I'm cold, I'm cold
In water-rolled salt
And I know that you're with me, and the way you will show
And you're with me wherever I go
But you give this feelin', this everglow
Oh-ooh
Oh, what I'd give for just a moment to hold
Yeah, I live for this feelin', this everglow
(Oh)
So if you love someone, you should let them know
Oh, the light that you left me will everglow"
Niki,High School In Jakarta,"Didn't you hear Amanda's movin' back to Colorado?
It's 2013 and the end of my life
Freshman year's about to plummet just a little harder
But it didn't 'cause we kissed on that Halloween night

[Verse 2]
I bleached half my hair when I saw Zoe on your Vespa
It was orange from three-percent peroxide, thanks to you
I needed a good cry, I headed right to Kendra's
I hated you and I hoped to God that you knew

[Pre-Chorus]
Now there's drama (Drama), found a club for that
Where I met ya (Met ya), had a heart attack
Yadda, yadda
At the end, yeah, we burned
Made a couplе U-turns
You were it 'til you werеn't (Mm)

[Chorus]
High school in Jakarta, sorta modern Sparta
Had no chance against the teenage suburban armadas
We were a sonata, thanks to tight-lipped fathers
Yeah, livin' under that was hard, but I loved you harder
High school in Jakarta, an elaborate saga
I still hate you for makin' me wish I came out smarter
You love-hate your mother, so do I
Could've ended different, then again
We went to high school in Jakarta

You might also like
Bad Decisions
​benny blanco, BTS & Snoop Dogg
Happiness
The 1975
BLACKPINK - Ready For Love (Romanized)
Genius Romanizations

[Verse 3]
Got a group assignment, I'll be at Vall's place
You don't text at all and only call when you're off your face
I'm petty and say, ""Call me when you're not unstable""
I lie and tell you I'll be gettin' drunk at Rachel's
I wasn't, she doesn't even drink
But I couldn't have you sit there and think
That you're better 'cause you're older
Are you better now that we're older?

High school in Jakarta, sorta modern Sparta
Had no chance against the teenage suburban armadas
We were a sonata, thanks to tight-lipped fathers
Yeah, livin' under that was hard, but I loved you harder
High school in Jakarta, a comedy drama
I still hate you for makin' me wish I came out smarter
You love-hate your mother, so do I
Could've ended different, then again
We went to high school in Jakarta

Natasha's movin' to New York (New York)
Probably sometime in August (Ah)
And I'm spendin' the summer in Singapore (Ah)
I'm so sad, I can't tell you shit anymore
I made friends with Abby this year (This is how I met your mother, oh my god)
We're movin' in in March or so
And although you bring me to tears
I'm glad that we gave it a go

High school in Jakarta, American summer
Had no chance against the Marxist girl with marijuana
I was your piñata, she was a star-charter
Glad she gave it to you real hard, but I loved you harder
High school in Jakarta, I won't, but I wanna
Ask you when you talk about it, do I ever come up?
Say thanks to your mama, now we're through
Could've ended different, then again
We went to high school in Jakarta"
ONE OK ROCK,Start Again,"This is where I draw the line Seen this war a million times Looking for a peace of mind Now you hate what we've become Say the word, let's be done There is something in the way I'm not always perfect But I'm always myself If you don't think I'm worth it Find someone else I won't say I'm sorry For being who I am Is the end a chance to start again? Hard to say what's all wrong Was it this all along I'm so close you're so gone We can fake the way we are I can change, it's my heart There's nothing left to say I'm not always perfect But I'm always myself If you don't think I'm worth it Find someone else I won't say I'm sorry For being who I am Is the end a chance to start again? I know, I know, I know it's not easy You can leave here anytime You know, you know, you know it's just not right? I'm not always perfect But I'm always myself If you don't think I'm worth it Find someone else I won't say I'm sorry For being who I am Is the end a chance to start again?"
ONE OK ROCK,Stand Out Fit In,"I know they don't like me that much, guess that I don't dress how they want I just wanna be myself, I can't be someone else, try to color inside their lines Try to live a life by design, I just wanna be myself, I can't be someone else They yell, they preach, I've heard it all before, ""Be this, be that,"" I've heard it before Big boys don't cry, shoot low, aim high, eat up, stay thin, stand out, fit in Good girls don't fight, be you, dress right, white face, tan skin, stand out, fit in Lately, it's been too much all day, words shoot like a cannon at me I just wanna be myself, I can't be someone else, someone else They yell, they preach, I've heard it all before, ""Be this, be that,"" I've heard it before Big boys don't cry, shoot low, aim high, eat up, stay thin, stand out, fit in Good girls don't fight, be you, dress right, white face, tan skin, stand out, fit in I am who I am, no matter what, never changing, no matter what, no matter what Big boys don't cry, shoot low, aim high, eat up, stay thin, stand out, fit in Good girls don't fight, be you, dress right, white face, tan skin, stand out, fit in Stand out, fit in, stand out, fit in, stand out, fit in, stand out, fit in"
Charlie Puth,See You Again,"It's been a long day without you, my friend
And I'll tell you all about it when I see you again
We've come a long way from where we began
Oh, I'll tell you all about it when I see you again
When I see you again
Damn, who knew?
All the planes we flew, good things we been through
That I'd be standing right here talking to you
'Bout another path, I know we loved to hit the road and laugh
But something told me that it wouldn't last
Had to switch up, look at things different, see the bigger picture
Those were the days, hard work forever pays
Now I see you in a better place (see you in a better place)
Uh
How can we not talk about family when family's all that we got?
Everything I went through, you were standing there by my side
And now you gon' be with me for the last ride
It's been a long day without you, my friend
And I'll tell you all about it when I see you again (I'll see you again)
We've come a long way (yeah, we came a long way)
From where we began (you know we started)
Oh, I'll tell you all about it when I see you again (I'll tell you)
When I see you again
First, you both go out your way and the vibe is feeling strong
And what's small turned to a friendship, a friendship turned to a bond
And that bond will never be broken, the love will never get lost
(The love will never get lost)
And when brotherhood come first, then the line will never be crossed
Established it on our own when that line had to be drawn
And that line is what we reached, so remember me when I'm gone
(Remember me when I'm gone)
How can we not talk about family when family's all that we got?
Everything I went through you were standing there by my side
And now you gon' be with me for the last ride
So let the light guide your way, yeah
Hold every memory as you go
And every road you take
Will always lead you home, home
It's been a long day without you, my friend
And I'll tell you all about it when I see you again
We've come a long way from where we began
Oh, I'll tell you all about it when I see you again
When I see you again
When I see you again (yeah, uh)
See you again (yeah, yeah, yeah)
When I see you again"
Niki,Take A Chance With Me,"His laugh you'd die for, his laugh you'd die for
The kind that colors the sky
Heart intangible, slips away faster
Than dandelion fluff in the sunlight
And he's got swirls of passion in his eyes
Uncovering the dreams he dreams at night
As much and hard as he tries to hide
I can see right through
See right through
His voice you'd melt for, he says my name like
I'd fade away somehow if he's too loud
What I would give for me to get my feet
Back on the ground, head off the clouds
I laugh at how we're polar opposites
I read him like a book and he's a clueless little kid
Doesn't know that I'd stop time and space
Just to make him smile
Make him smile
Oh, why can't we for once
Say what we want, say what we feel?
Oh, why can't you for once
Disregard the world and run to what you know is real?
Take a chance with me
Take a chance with me
Ooh
Ooh
His kiss you'd kill for, just one and you're done for
Electricity surgin' in the air
He drives me crazy, it's so beyond me
How he'd look me dead in the eye and stay unaware
That I'm hopelessly captivated
By a boy who thinks love's overrated
How did I get myself in this arrangement?
It baffles me too, baffles me too
Oh, why can't we for once
Say what we want, say what we feel?
Oh, why can't you for once
Disregard the world and run to what you know is real?
In the end, we only regret
The chances we didn't take
I'll be your safety net
So why not raise the stakes?
I can hear your heart from across the room
Pulsin' through my veins, I know you need this too
Lie to me all you please
I can see right through
See right through
Oh, why can't we for once
Say what we want, say what we feel?
Oh, why can't you for once
Disregard the world and run to what you know is real?
Oh, why can't we for once
Say what we want, say what we feel?
Oh, why can't you for once
Disregard the world and run to what you know is real?
Take a chance with me
Take a chance with me
Ooh"
Taylor Swift,Style,"Midnight
You come and pick me up, no headlights
Long drive
Could end in burning flames or paradise
Fade into view, oh
It's been a while since I have even heard from you (heard from you)
And I should just tell you to leave 'cause I
Know exactly where it leads, but I
Watch us go 'round and 'round each time
You got that James Dean daydream look in your eye
And I got that red lip classic thing that you like
And when we go crashing down, we come back every time
'Cause we never go out of style, we never go out of style
You got that long hair, slicked back, white T-shirt
And I got that good girl faith and a tight little skirt
And when we go crashing down, we come back every time
'Cause we never go out of style, we never go out of style
So it goes
He can't keep his wild eyes on the road, mm
Takes me home
The lights are off, he's taking off his coat, mm, yeah
I say, ""I heard, oh
That you've been out and about with some other girl, some other girl""
He says, ""What you heard is true, but I
Can't stop thinkin' 'bout you and I""
I said, ""I've been there too a few times""
'Cause you got that James Dean daydream look in your eye
And I got that red lip classic thing that you like
And when we go crashing down, we come back every time
'Cause we never go out of style, we never go out of style
You got that long hair, slicked back, white T-shirt
And I got that good girl faith and a tight little skirt (a tight little skirt)
And when we go crashing down, we come back every time
'Cause we never go out of style (we never go), we never go out of style
Take me home
Just take me home
Yeah, just take me home
Oh, whoa, oh
(Out of style)
Oh, you got that James Dean daydream look in your eye
And I got that red lip classic thing that you like
And when we go crashing down (now we go), we come back every time
'Cause we never go out of style, we never go out of style"
John Legend,All of Me,"What would I do without your smart mouth?
Drawing me in, and you kicking me out
You've got my head spinning, no kidding, I can't pin you down
What's going on in that beautiful mind?
I'm on your magical mystery ride
And I'm so dizzy, don't know what hit me, but I'll be alright
My head's under water
But I'm breathing fine
You're crazy and I'm out of my mind
'Cause all of me
Loves all of you
Love your curves and all your edges
All your perfect imperfections
Give your all to me
I'll give my all to you
You're my end and my beginning
Even when I lose, I'm winning
'Cause I give you all of me
And you give me all of you, oh-oh
How many times do I have to tell you?
Even when you're crying, you're beautiful too
The world is beating you down, I'm around through every mood
You're my downfall, you're my muse
My worst distraction, my rhythm and blues
I can't stop singing, it's ringing in my head for you
My head's under water
But I'm breathing fine
You're crazy and I'm out of my mind
'Cause all of me
Loves all of you
Love your curves and all your edges
All your perfect imperfections
Give your all to me
I'll give my all to you
You're my end and my beginning
Even when I lose, I'm winning
'Cause I give you all of me
And you give me all of you, oh-oh
Give me all of you, oh
Cards on the table, we're both showing hearts
Risking it all, though it's hard
'Cause all of me
Loves all of you
Love your curves and all your edges
All your perfect imperfections
Give your all to me
I'll give my all to you
You're my end and my beginning
Even when I lose, I'm winning
'Cause I give you all of me
And you give me all of you
I give you all of me
And you give me all of you, oh-oh"
Coldplay,Viva la vida,"I used to rule the world
Seas would rise when I gave the word
Now in the morning, I sleep alone
Sweep the streets I used to own

I used to roll the dice
Feel the fear in my enemy's eyes
Listen as the crowd would sing
Now the old king is dead, long live the king
One minute, I held the key
Next the walls were closed on me
And I discovered that my castles stand
Upon pillars of salt and pillars of sand

I hear Jerusalem bells a-ringin'
Roman Cavalry choirs are singin'
Be my mirror, my sword and shield
My missionaries in a foreign field
For some reason, I can't explain
Once you'd gone, there was never, never an honest word
And that was when I ruled the world

It was a wicked and wild wind
Blew down the doors to let me in
Shattered windows and the sound of drums
People couldn't believe what I'd become
Revolutionaries wait
For my head on a silver plate
Just a puppet on a lonely string
Oh, who would ever want to be king?

I hear Jerusalem bells a-ringin'
Roman Cavalry choirs are singing
Be my mirror, my sword and shield
My missionaries in a foreign field
For some reason, I can't explain
I know Saint Peter won't call my name
Never an honest word
But that was when I ruled the world

Oh-oh-oh, oh-oh, oh
Oh-oh-oh, oh-oh, oh
Oh-oh-oh, oh-oh, oh
Oh-oh-oh, oh-oh, oh
Oh-oh-oh, oh-oh, oh

I hear Jerusalem bells a-ringin'
Roman Cavalry choirs are singin'
Be my mirror, my sword and shield
My missionaries in a foreign field
For some reason I can't explain
I know Saint Peter won't call my name
Never an honest word
But that was when I ruled the world

"
Bruno mars,it will rain,"LirikVideoDengarkanRekaman Lainnya
If you ever leave me, baby
Leave some morphine at my door
'Cause it would take a whole lot of medication
To realize what we used to have
We don't have it anymore
There's no religion that could save me
No matter how long my knees are on the floor (oh)
So keep in mind all the sacrifices I'm makin'
To keep you by my side
To keep you from walkin' out the door
'Cause there'll be no sunlight
If I lose you, baby
There'll be no clear skies
If I lose you, baby
Just like the clouds
My eyes will do the same if you walk away
Everyday it'll rain, rain, ra-a-a-ain
I'll never be your mother's favorite
Uh, your daddy can't even look me in the eye
Ooh, if I was in their shoes, I'd be doing the same thing
Sayin', ""There goes my little girl
Walkin' with that troublesome guy""
But they're just afraid of something they can't understand
Ooh, but little darlin' watch me change their minds
Yeah for you I'll try, I'll try, I'll try, I'll try
And pick up these broken pieces 'til I'm bleeding
If that'll make you mine
'Cause there'll be no sunlight
If I lose you, baby
There'll be no clear skies
If I lose you, baby
Just like the clouds
My eyes will do the same if you walk away
Everyday it'll rain, rain, ra-a-a-ain
Oh, don't you say (don't you say) goodbye (goodbye)
Don't you say (don't you say) goodbye (goodbye)
I'll pick up these broken pieces 'til I'm bleeding
If that'll make it right
'Cause there'll be no sunlight
If I lose you, baby
And there'll be no clear skies
If I lose you, baby
And just like the clouds
My eyes will do the same if you walk away
Everyday it'll rain, rain, ra-a-a-ain"
Calum Scott,You are the reason,"There goes my heart beating
'Cause you are the reason
I'm losing my sleep
Please come back now

And there goes my mind racing
And you are the reason
That I'm still breathing
I'm hopeless now

I'd climb every mountain
And swim every ocean
Just to be with you
And fix what I've broken
Oh, 'cause I need you to see
That you are the reason

There goes my hands shaking
And you are the reason
My heart keeps bleeding
I need you now

And if I could turn back the clock
I'd make sure the light defeated the dark
I'd spend every hour, of every day
Keeping you safe

And I'd climb every mountain
And swim every ocean
Just to be with you
And fix what I've broken
Oh, 'cause I need you to see
That you are the reason

I don't wanna fight no more
I don't wanna hide no more
I don't wanna cry no more
Come back I need you to hold me (you are the reason)
Be a little closer now
Just a little closer now
Come a little closer
I need you to hold me tonight

I'd climb every mountain
And swim every ocean
Just to be with you
And fix what I've broken
'Cause I need you to see
That you are the reason

"
Reality Club,Am I Bothering You?,"We're both strangers to a miracle
We've had our eyes locked for a while
I've completed all the courses, I need to understand my loneliness
I've accepted that maybe we're meant for a different time
But then out of the blue, a spark or two
Seems to generate
Now I'm bothering you, it's bothering me
What can I do? What should I do?
We're not too far, look where we are
Bothering me, bothering you
We fill our days with hypotheticals (ooh-ooh)
Living vividly in our minds (ooh-ooh)
We take apart our dreams with heavy heart
But I know that maybe we can start something right
But then out of the blue, a spark or two
Seems to generate
Now I'm bothering you, it's bothering me
What can I do? What should I do?
We're not too far, look where we are
Bothering me, bothering you
Lost in the sea, feel so complete
Love is a myth, depends who you're with
Bothering me, bothering you, ooh
But then out of the blue, a spark or two
Seems to generate
And you with similar views, you know my heart did incinerate
Now I'm bothering you, it's bothering me
What can I do? What should I do?
We're not too far, look where we are
Bothering me, bothering you
Lost in the sea, feel so complete
Love is a myth, depends who you're with
Bothering me, bothering you, ooh"
Taylor Swift,Cardigan,"Vintage tee, brand new phone
High heels on cobblestones
When you are young, they assume you know nothing
Sequin smile, black lipstick
Sensual politics
When you are young, they assume you know nothing
But I knew you
Dancin' in your Levi's
Drunk under a streetlight, I
I knew you
Hand under my sweatshirt
Baby, kiss it better, I
And when I felt like I was an old cardigan
Under someone's bed
You put me on and said I was your favorite
A friend to all is a friend to none
Chase two girls, lose the one
When you are young, they assume you know nothin'
But I knew you
Playing hide-and-seek and
Giving me your weekends, I
I knew you
Your heartbeat on the High Line
Once in 20 lifetimes, I
And when I felt like I was an old cardigan
Under someone's bed
You put me on and said I was your favorite
To kiss in cars and downtown bars
Was all we needed
You drew stars around my scars
But now I'm bleedin'
'Cause I knew you
Steppin' on the last train
Marked me like a bloodstain, I
I knew you
Tried to change the ending
Peter losing Wendy, I
I knew you
Leavin' like a father
Running like water, I
And when you are young, they assume you know nothing
But I knew you'd linger like a tattoo kiss
I knew you'd haunt all of my what-ifs
The smell of smoke would hang around this long
'Cause I knew everything when I was young
I knew I'd curse you for the longest time
Chasin' shadows in the grocery line
I knew you'd miss me once the thrill expired
And you'd be standin' in my front porch light
And I knew you'd come back to me
You'd come back to me
And you'd come back to me
And you'd come back
And when I felt like I was an old cardigan
Under someone's bed
You put me on and said I was your favorite"
Tripov,Round & Round,"You're so predictable
Questions you’ve asked me, couple months ago
Same old answer from me, nothing new you know?
We're doing fine, just not like once before
You're so magical
Disappearing from me, couple days ago
Same old answer from you, nothing new I know
""I’m doing fine"", I lied, I cried before
Tell me is this a sign?
We’re running out of time
Cause we just go
Round and round
We're going down
Foolin’ around
Up and down
Round and round
Lost in every way and every turn
And we just go
Round and round
We’re going down
Sinking deep to
The ocean ground
Some things are meant
To be lost and can’t be found
You’re so impossible
Changing you that is unachievable
Not sorry if I get too emotional
I’m just tired of trying that is all
One day you’ll realize
It’s no one’s fault you are still good in my eyes
We grow apart it is inevitable
Just the way it goes, nothing was personal
I’m sure it was a sign
We’re running out of time
Cause we just go
Round and round
We're going down
Foolin’ around
Up and down
Round and round
Lost in every way and every turn
And we just go
Round and round
We’re going down
Sinking deep to
The ocean ground
Some things are meant
To be lost and can’t be found
Cause we just go
Round and round
We're going down
Foolin’ around
Up and down
Round and round
Lost in every way and every turn
You're so predictable
Disappearing from me, couple days ago
Not sorry if I get too emotional
Just the way it goes, nothing was personal"
Ariana Grande,Thank U Next,"Thought I'd end up with Sean
But he wasn't a match
Wrote some songs about Ricky
Now I listen and laugh
Even almost got married
And for Pete, I'm so thankful
Wish I could say ""thank you"" to Malcolm
'Cause he was an angel
One taught me love
One taught me patience
And one taught me pain
Now, I'm so amazing
Say I've loved and I've lost
But that's not what I see
So, look what I got
Look at what you taught me
And for that, I say
Thank you, next (next)
Thank you, next (next)
Thank you, next
I'm so grateful for my ex
Thank you, next (next)
Thank you, next (next)
Thank you, next (next)
I'm so
Spend more time with my friends
I ain't worried 'bout nothin'
Plus, I met someone else
We're havin' better discussions
I know they say I move on too fast
But this one gon' last
'Cause her name is Ari
And I'm so good with that (so good with that)
She taught me love (love)
She taught me patience (patience)
She handles pain (pain)
That amazing (yeah, she's amazing)
I've loved and I've lost (yeah, yeah)
But that's not what I see (yeah, yeah)
'Cause look what I've found (yeah, yeah)
Ain't no need for searching
And for that, I say
Thank you, next (thank you, next)
Thank you, next (thank you, next)
Thank you, next (thank you)
I'm so grateful for my ex
Thank you, next (thank you, next)
Thank you, next (said thank you, next)
Thank you, next (next)
I'm so grateful for my ex
Thank you, next
Thank you, next
Thank you, next
I'm so
One day I'll walk down the aisle
Holding hands with my mama
I'll be thanking my dad
'Cause she grew from the drama
Only wanna do it once, real bad
Gon' make that last
God forbid something happens
Least this song is a smash (song is a smash)
I've got so much love (love)
Got so much patience (patience)
I've learned from the pain (pain)
I turned out amazing (turned out amazing)
I've loved and I've lost (yeah, yeah)
But that's not what I see (yeah, yeah)
'Cause look what I've found (yeah, yeah)
Ain't no need for searching
And for that, I'll say
Thank you, next (thank you, next)
Thank you, next (thank you, next)
Thank you, next
I'm so grateful for my ex
Thank you, next (thank you, next)
Thank you, next (said thank you, next)
Thank you, next (next)
I'm so grateful for my ex
Thank you, next
Thank you, next
Thank you, next
Yeah, yee
Thank you, next
Thank you, next
Thank you, next
Yeah, yee"
